LS,FS,RS,Theta_d,vel_R,vel_L
0.2325,0.1619,0.6881,0.3019,6.6893,2.043
0.8263,0.1776,0.4833,0.7257,1.8318,7.0389
0.4002,0.8351,0.0322,0.2137,7.4911,-0.1527
0.3596,0.5629,0.2783,0.4054,5.7888,3.8123
0.2132,0.9251,0.6103,0.9911,-0.8894,10.0494
0.5999,0.1834,0.9238,0.4123,5.4675,3.4525
0.6655,0.5053,0.8985,0.6453,3.9481,6.3083
0.7372,0.5026,0.8785,0.7626,2.9875,7.2689
0.8994,0.559,0.2574,0.8015,6.6149,2.8569
0.9471,0.6196,0.7126,0.3907,5.8011,4.2646
0.2187,0.6887,0.6045,0.6757,2.6553,6.5458
0.4908,0.1887,0.464,0.8225,0.8023,8.1618
0.1825,0.083,0.7025,0.0171,10.0897,-2.1522
0.7472,0.9059,0.5683,0.1851,7.4642,2.7296
0.0582,0.5503,0.7849,0.2305,1.9488,5.7055
0.1627,0.5216,0.9311,0.5774,4.3241,4.4154
0.106,0.8334,0.9147,0.6947,1.6832,6.5035
0.4403,0.043,0.3678,0.3344,5.9229,1.5489
0.2722,0.801,0.0816,0.9607,8.2195,-0.2975
0.4222,0.4549,0.9764,0.2372,3.8535,6.3219
0.761,0.6816,0.7473,0.5504,4.5849,5.2315
0.017,0.1099,0.3761,0.8134,-0.6745,7.8202
0.1993,0.4926,0.0097,0.2897,6.4008,0.6505
0.2125,0.7079,0.3832,0.3512,4.3113,4.8435
0.4964,0.8801,0.0216,0.7413,5.1696,2.0355
0.2425,0.3353,0.7045,0.1854,2.634,6.7383
0.2422,0.8349,0.4417,0.4016,4.9722,4.3981
0.6195,0.4811,0.2637,0.2509,7.3951,2.1166
0.2315,0.9186,0.8568,0.9415,-0.18,9.4753
0.141,0.0859,0.4014,0.7847,0.3889,7.5814
0.0644,0.4457,0.6764,0.2602,2.3801,5.346
0.7327,0.8411,0.7862,0.6766,3.718,5.8164
0.9556,0.8249,0.5405,0.3536,6.2582,3.9767
0.7265,0.0601,0.3039,0.4671,4.6533,3.0236
0.7714,0.872,0.0698,0.4709,4.9197,2.8691
0.4942,0.6401,0.548,0.38,5.1689,5.0875
0.297,0.8741,0.2025,0.5106,6.7162,2.3607
0.3701,0.5486,0.2807,0.756,6.1696,3.4458
0.6944,0.9863,0.5277,0.0908,8.3607,1.8854
0.2425,0.0123,0.7772,0.5183,1.3679,5.7173
0.3252,0.5109,0.9338,0.3059,4.237,5.6122
0.732,0.6606,0.1282,0.1891,7.9751,0.4383
0.5744,0.899,0.2161,0.7996,6.5282,2.6533
0.0756,0.0443,0.4488,0.1938,7.781,-0.2928
0.9361,0.0631,0.9413,0.6856,1.4577,6.2541
0.9058,0.319,0.9794,0.2771,7.1412,2.6783
0.4453,0.5136,0.8059,0.6841,3.5037,6.7127
0.2623,0.4689,0.992,0.4108,5.1307,4.3729
0.4383,0.9321,0.8366,0.6397,3.876,6.3301
0.875,0.3467,0.1301,0.9888,8.6134,-0.1816
0.3958,0.726,0.2301,0.0178,9.9256,-0.6405
0.4815,0.0266,0.7823,0.1961,7.7158,-0.447
0.1424,0.0223,0.8411,0.9254,-2.1264,9.3398
0.6415,0.265,0.7636,0.4563,5.0975,4.4225
0.2145,0.8646,0.4767,0.4093,4.9655,4.2037
0.1129,0.2463,0.6036,0.6938,1.7467,6.5118
0.8933,0.4604,0.4257,0.5117,6.8158,3.3667
0.5849,0.7126,0.7979,0.505,2.3737,7.7863
0.0473,0.3119,0.9824,0.3813,3.844,3.6801
0.9467,0.888,0.3698,0.4979,9.143,0.8878
0.034,0.2381,0.4726,0.6404,1.8121,5.5489
0.6424,0.1606,0.8401,0.795,0.8994,7.8206
0.5441,0.8129,0.1134,0.3027,6.5589,1.7047
0.5349,0.5473,0.699,0.0194,2.3317,7.9083
0.0143,0.7853,0.6758,0.1057,-0.1067,7.2174
0.4229,0.1107,0.6141,0.395,5.414,2.8219
0.5131,0.5546,0.5992,0.8729,2.1255,8.1289
0.6752,0.3284,0.7989,0.1439,8.4608,1.4028
0.1283,0.5987,0.1151,0.4548,4.4966,3.7844
